date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,sum_delay,max_delay,min_delay,n_late5
2026-09-25,8,10001,1,4,722_1,1,0,0,0,0
2026-09-25,8,10001,1,5,721_1,2,124,64,60,0
2026-09-25,8,10001,1,6,720_1,2,120,64,56,0
2026-09-25,8,10001,1,7,719_1,3,186,72,50,0
2026-09-25,8,10001,1,8,718_1,4,405,121,83,0
2026-09-25,8,10001,1,9,7717_1,4,549,158,121,0
2026-09-25,8,10001,1,10,765_1,4,425,127,90,0
2026-09-25,8,10001,1,11,610_1,4,393,119,82,0
2026-09-25,8,10001,1,12,609_1,4,429,128,91,0
2026-09-25,8,10001,1,13,608_1,4,533,154,117,0
2026-09-25,8,10001,1,14,607_1,4,633,179,142,0
2026-09-25,8,10001,1,15,606_1,4,455,145,84,0
2026-09-25,8,10001,1,16,249_1,4,483,151,89,0
2026-09-25,8,10001,1,17,250_1,4,533,169,96,0
2026-09-25,8,10001,1,18,251_1,4,397,126,89,0
2026-09-25,8,10001,1,19,152_1,4,417,131,94,0
2026-09-25,8,10001,1,20,200_1,4,425,133,96,0
2026-09-25,8,10001,1,21,184_1,4,337,111,74,0
2026-09-25,8,10001,1,22,201_1,4,249,89,52,0
2026-09-25,8,10001,1,23,51_1,4,193,75,38,0
2026-09-25,8,10001,1,24,202_1,4,609,179,142,0
2026-09-25,8,10001,1,25,5_4,4,609,179,142,0
2026-09-25,8,10001,1,26,6070_3,4,369,119,82,0
2026-09-25,8,10032,0,1,61_1,2,6,6,0,0
2026-09-25,8,10032,0,2,59_4,2,5,5,0,0
2026-09-25,8,10032,0,3,57_2,2,17,11,6,0
2026-09-25,8,10032,0,4,56_2,2,203,104,99,0
2026-09-25,8,10032,0,5,55_2,2,393,199,194,0
2026-09-25,8,10032,0,6,72_1,2,357,181,176,0
2026-09-25,8,10032,0,7,73_2,2,301,153,148,0
2026-09-25,8,10032,0,8,73_3,2,319,162,157,0
2026-09-25,8,10032,0,9,3_2,2,375,190,185,0
2026-09-25,8,10032,0,10,114_4,2,225,115,110,0
2026-09-25,8,10032,0,11,393_2,2,215,110,105,0
2026-09-25,8,10032,0,12,6070_3,3,328,115,104,0
2026-09-25,8,10032,0,13,6102_2,3,231,88,66,0
2026-09-25,8,10032,0,14,6069_2,3,305,119,78,0
2026-09-25,8,10032,0,15,6057_2,3,284,112,71,0
2026-09-25,8,10032,0,16,9_5,3,290,114,73,0
2026-09-25,8,10032,0,17,6241_2,4,710,198,147,0
2026-09-25,8,10032,0,18,6143_2,4,627,175,127,0
2026-09-25,8,10032,0,19,6166_2,4,603,162,128,0
2026-09-25,8,10032,0,20,446_4,4,492,145,102,0
2026-09-25,8,10032,0,21,6161_2,4,680,207,104,0
2026-09-25,8,10032,0,22,6001_2,4,803,240,128,0
2026-09-25,8,10032,0,23,6160_2,4,699,214,102,0
2026-09-25,8,10032,0,24,6162_2,4,819,244,132,0
2026-09-25,8,10032,0,25,6041_2,4,955,278,166,0
2026-09-25,8,10032,0,26,243_2,4,907,266,154,0
2026-09-25,8,10032,0,27,6228_2,2,366,220,146,0
2026-09-25,8,10032,0,28,95_2,1,96,96,96,0
2026-09-25,8,10032,1,22,91_4,1,159,159,159,0
2026-09-25,8,10032,1,23,6016_1,2,270,204,66,0
2026-09-25,8,10032,1,24,93_1,3,331,203,54,0
2026-09-25,8,10032,1,25,94_2,4,410,203,54,0
2026-09-25,8,10032,1,26,95_1,4,307,178,28,0
2026-09-25,8,10032,1,27,6228_1,4,511,212,62,0
2026-09-25,8,10032,1,28,243_1,4,506,206,56,0
2026-09-25,8,10032,1,29,6041_1,4,712,258,108,0
2026-09-25,8,10032,1,30,6162_1,4,660,245,95,0
2026-09-25,8,10032,1,31,6160_1,4,704,256,106,0
2026-09-25,8,10032,1,32,6001_1,4,664,246,96,0
2026-09-25,8,10032,1,33,6161_1,4,708,257,107,0
2026-09-25,8,10032,1,34,446_3,4,736,264,114,0
2026-09-25,8,10032,1,35,6166_1,4,620,235,85,0
2026-09-25,8,10032,1,36,6143_1,4,576,224,74,0
2026-09-25,8,10032,1,37,6241_1,4,584,226,76,0
2026-09-25,8,10032,1,38,9_2,4,360,161,23,0
2026-09-25,8,10032,1,39,6057_1,4,508,198,60,0
2026-09-25,8,10032,1,40,6069_1,4,488,193,55,0
2026-09-25,8,10032,1,41,6102_1,4,640,231,93,0
2026-09-25,8,10032,1,42,6070_2,4,468,188,50,0
2026-09-25,8,10032,1,43,393_1,4,656,235,97,0
2026-09-25,8,10032,1,44,114_1,4,480,191,53,0
2026-09-25,8,10032,1,45,114_3,4,770,261,123,0
2026-09-25,8,10032,1,46,3_1,4,1260,355,255,3
2026-09-25,8,10032,1,47,73_1,4,1088,325,225,1
2026-09-25,8,10032,1,48,72_2,4,1340,388,288,3
2026-09-25,8,10032,1,49,55_1,4,1108,330,230,1
2026-09-25,8,10032,1,50,56_1,4,1104,329,229,1
2026-09-25,8,10032,1,51,57_1,3,751,278,221,0
2026-09-25,8,10032,1,52,59_1,1,192,192,192,0
2026-09-25,8,10033,1,11,7841_2,1,252,252,252,0
2026-09-25,8,10033,1,12,91_3,1,72,72,72,0
2026-09-25,8,10047,0,17,6241_2,1,228,228,228,0
2026-09-25,8,10047,0,18,6143_2,1,205,205,205,0
2026-09-25,8,10047,0,19,6166_2,2,395,203,192,0
2026-09-25,8,10047,0,20,446_4,2,361,186,175,0
2026-09-25,8,10047,0,21,6161_2,3,697,248,212,0
2026-09-25,8,10047,0,22,6001_2,3,796,281,245,0
2026-09-25,8,10047,0,23,6160_2,4,906,255,188,0
2026-09-25,8,10047,0,24,6162_2,4,1026,285,218,0
2026-09-25,8,10047,0,25,6041_2,4,1162,319,252,2
2026-09-25,8,10047,0,26,243_2,4,1114,307,240,1
2026-09-25,8,10047,0,27,6228_2,4,1082,299,232,0
2026-09-25,8,10047,0,28,95_2,4,882,249,182,0
2026-09-25,8,10047,0,29,94_3,4,1098,303,236,1
2026-09-25,8,10047,0,30,6242_1,4,1098,303,236,1
2026-09-25,8,10047,0,31,6064_1,4,982,274,207,0
2026-09-25,8,10047,0,32,6255_2,4,1118,308,241,1
2026-09-25,8,10047,0,33,6256_2,4,1178,323,256,2
2026-09-25,8,10047,0,34,6094_2,4,1058,293,226,0
2026-09-25,8,10047,0,35,6244_2,4,982,274,207,0
2026-09-25,8,10047,0,36,6257_2,4,930,261,194,0
2026-09-25,8,10047,0,37,6240_2,4,1026,285,218,0
2026-09-25,8,10047,0,38,6258_2,4,1266,345,278,3
2026-09-25,8,10047,0,39,6225_2,4,1234,337,270,3
2026-09-25,8,10047,0,40,6181_2,4,1178,323,256,2
2026-09-25,8,10047,0,41,6246_2,4,1342,364,297,3
2026-09-25,8,10047,0,42,6206_2,4,1542,414,347,4
2026-09-25,8,10047,0,43,6176_2,4,1642,439,372,4
2026-09-25,8,10047,0,44,6200_3,4,1736,468,401,4
2026-09-25,8,10047,0,45,6042_2,4,1602,435,368,4
2026-09-25,8,10047,0,46,6031_2,4,1481,402,335,4
2026-09-25,8,10047,0,47,6039_1,4,1201,332,265,2
2026-09-25,8,10047,1,40,3_1,1,294,294,294,0
2026-09-25,8,10047,1,41,73_1,2,572,308,264,1
