date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,sum_delay,max_delay,min_delay,n_late5
2026-08-27,8,10001,1,12,609_1,1,187,187,187,0
2026-08-27,8,10001,1,13,608_1,1,190,190,190,0
2026-08-27,8,10001,1,14,607_1,2,564,301,263,1
2026-08-27,8,10001,1,15,606_1,2,508,273,235,0
2026-08-27,8,10001,1,16,249_1,3,573,256,99,0
2026-08-27,8,10001,1,17,250_1,4,684,245,88,0
2026-08-27,8,10001,1,18,251_1,4,548,211,54,0
2026-08-27,8,10001,1,19,152_1,4,495,211,54,0
2026-08-27,8,10001,1,20,200_1,4,605,206,114,0
2026-08-27,8,10001,1,21,184_1,4,593,202,110,0
2026-08-27,8,10001,1,22,201_1,4,777,248,156,0
2026-08-27,8,10001,1,23,51_1,4,829,261,169,0
2026-08-27,8,10001,1,24,202_1,4,813,257,165,0
2026-08-27,8,10001,1,25,5_4,4,601,204,112,0
2026-08-27,8,10001,1,26,6070_3,4,429,161,69,0
2026-08-27,8,10002,1,2,445_2,1,57,57,57,0
2026-08-27,8,10002,1,3,451_1,2,101,57,44,0
2026-08-27,8,10002,1,4,452_1,2,101,57,44,0
2026-08-27,8,10002,1,5,906_1,1,0,0,0,0
2026-08-27,8,10002,1,6,75_2,1,0,0,0,0
2026-08-27,8,10002,1,7,453_1,1,0,0,0,0
2026-08-27,8,10002,1,8,454_1,1,0,0,0,0
2026-08-27,8,10002,1,9,455_1,1,0,0,0,0
2026-08-27,8,10002,1,10,456_1,1,0,0,0,0
2026-08-27,8,10002,1,11,905_2,1,0,0,0,0
2026-08-27,8,10002,1,12,113_2,1,60,60,60,0
2026-08-27,8,10002,1,13,203_1,1,60,60,60,0
2026-08-27,8,10002,1,14,127_1,1,120,120,120,0
2026-08-27,8,10002,1,15,126_1,1,120,120,120,0
2026-08-27,8,10002,1,16,125_1,1,120,120,120,0
2026-08-27,8,10002,1,17,124_1,1,120,120,120,0
2026-08-27,8,10002,1,18,123_1,1,120,120,120,0
2026-08-27,8,10008,0,4,6320_1,1,142,142,142,0
2026-08-27,8,10008,0,5,6018_2,1,142,142,142,0
2026-08-27,8,10008,0,6,6190_2,2,379,211,168,0
2026-08-27,8,10008,0,7,6171_2,2,305,174,131,0
2026-08-27,8,10008,0,8,6014_3,2,59,51,8,0
2026-08-27,8,10032,0,3,57_2,1,0,0,0,0
2026-08-27,8,10032,0,4,56_2,1,53,53,53,0
2026-08-27,8,10032,0,5,55_2,2,278,150,128,0
2026-08-27,8,10032,0,6,72_1,3,272,111,72,0
