date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ,n_nodata
2026-09-11,7,10001,1,8,718_1,1,1,1,1,0
2026-09-11,7,10001,1,9,7717_1,1,1,1,1,0
2026-09-11,7,10001,1,10,765_1,1,1,1,1,0
2026-09-11,7,10001,1,14,607_1,1,1,3,3,0
2026-09-11,7,10031,0,15,446_4,1,1,1,1,0
2026-09-11,7,10031,0,16,6161_2,1,1,1,1,0
2026-09-11,7,10031,0,17,6001_2,1,1,1,1,0
2026-09-11,7,10031,0,20,6041_2,1,1,1,1,0
2026-09-11,7,10032,1,45,114_3,1,1,1,1,0
2026-09-11,7,10032,1,46,3_1,2,2,2,1,0
2026-09-11,7,10032,1,47,73_1,1,1,1,1,0
2026-09-11,7,10033,1,3,6169_1,1,1,1,1,0
2026-09-11,7,10033,1,5,6074_1,1,1,1,1,0
2026-09-11,7,10033,1,7,6400_1,1,1,1,1,0
2026-09-11,7,10033,1,8,6033_2,1,1,1,1,0
2026-09-11,7,10043,0,2,6148_2,2,2,0,0,0
2026-09-11,7,10043,0,4,6150_2,1,1,0,0,0
2026-09-11,7,10043,0,7,6145_1,1,1,0,0,0
2026-09-11,7,10047,1,1,6039_1,1,0,0,0,1
2026-09-11,7,10047,1,19,94_2,1,1,1,1,0
2026-09-11,7,10047,1,21,6228_1,1,1,1,1,0
2026-09-11,7,10047,1,23,6041_1,1,1,1,1,0
2026-09-11,7,10047,1,25,6160_1,1,1,1,1,0
2026-09-11,7,10049,1,1,6039_1,1,1,0,0,0
2026-09-11,7,10049,1,4,6200_1,1,1,1,1,0
2026-09-11,7,10049,1,5,6176_1,1,1,1,1,0
2026-09-11,7,10049,1,8,6181_1,1,1,1,1,0
2026-09-11,7,10050,0,1,91_4,1,1,3,3,0
2026-09-11,7,10050,1,1,6014_1,1,0,0,0,1
2026-09-11,7,10050,1,3,6190_1,1,1,1,1,0
2026-09-11,7,10051,0,10,6172_2,1,1,1,1,0
2026-09-11,7,10051,0,12,6248_2,1,1,1,1,0
2026-09-11,7,10051,0,14,6015_2,1,1,0,0,0
2026-09-11,7,10051,1,1,6015_1,1,0,0,0,1
2026-09-11,7,10051,1,9,6205_1,1,1,3,3,0
2026-09-11,7,10051,1,12,93_2,1,1,3,3,0
2026-09-11,7,10051,1,13,6016_2,1,1,3,3,0
2026-09-11,7,10053,0,1,9_1,1,0,0,0,1
2026-09-11,7,10056,0,5,446_4,1,1,1,1,0
2026-09-11,7,10056,0,6,6158_2,1,1,1,1,0
2026-09-11,7,10056,0,9,14_3,1,1,1,1,0
2026-09-11,7,10056,0,11,16_2,1,1,1,1,0
2026-09-11,7,10059,0,2,7841_4,1,1,1,1,0
2026-09-11,7,10059,0,5,6006_2,1,1,1,1,0
2026-09-11,7,10059,0,6,6229_2,1,1,1,1,0
2026-09-11,7,10059,0,8,6169_2,1,1,1,1,0
2026-09-11,7,10060,0,5,393_2,1,1,1,1,0
2026-09-11,7,10060,0,6,6070_3,1,1,1,1,0
2026-09-11,7,10060,0,7,6102_2,1,1,1,1,0
2026-09-11,7,10060,0,10,9_5,1,1,1,1,0
2026-09-11,7,10060,1,5,6172_1,1,1,1,1,0
2026-09-11,7,10060,1,7,6011_1,1,1,1,1,0
2026-09-11,7,10060,1,8,6187_2,1,1,1,1,0
2026-09-11,7,10060,1,10,6212_1,1,1,3,3,0
2026-09-11,7,10060,1,22,6166_1,1,1,3,3,0
2026-09-11,7,10060,1,24,6241_1,1,1,3,3,0
2026-09-11,7,10060,1,25,9_2,1,1,3,3,0
2026-09-11,7,10060,1,26,8_3,1,1,3,3,0
2026-09-11,7,10062,0,1,91_2,1,1,3,3,0
2026-09-11,7,10062,0,2,7841_4,1,1,1,1,0
2026-09-11,7,10062,1,12,6902_1,1,1,3,3,0
2026-09-11,7,10062,1,14,7841_2,1,1,3,3,0
2026-09-11,7,10068,0,3,128_1,1,1,1,1,0
2026-09-11,7,10068,0,4,114_5,1,1,0,0,0
2026-09-11,7,10068,0,5,3_3,1,1,1,1,0
2026-09-11,7,10068,0,6,4_3,1,1,1,1,0
2026-09-11,7,10068,0,7,421_1,1,1,1,1,0
2026-09-11,7,10068,0,8,6163_1,1,1,1,1,0
2026-09-11,7,10068,0,10,418_1,1,1,1,1,0
2026-09-11,7,10068,0,11,440_1,1,1,0,0,0
2026-09-11,7,10068,1,2,6236_2,1,1,1,1,0
2026-09-11,7,10068,1,3,440_2,1,1,1,1,0
2026-09-11,7,10068,1,4,418_2,1,1,1,1,0
2026-09-11,7,10068,1,5,419_2,1,1,1,1,0
2026-09-11,7,10068,1,21,765_1,1,1,1,1,0
2026-09-11,7,10068,1,24,608_1,1,1,1,1,0
2026-09-11,7,10068,1,25,607_1,1,1,1,1,0
2026-09-11,7,10068,1,27,249_1,1,1,1,1,0
2026-09-11,7,10069,1,22,186_1,1,1,1,1,0
2026-09-11,7,10069,1,23,253_1,1,1,1,1,0
2026-09-11,7,10069,1,24,53_1,1,1,1,1,0
2026-09-11,7,10069,1,25,254_1,1,1,1,1,0
2026-09-11,7,10072,1,29,55_1,2,2,2,1,0
2026-09-11,7,10072,1,30,56_1,1,1,1,1,0
2026-09-11,7,10072,1,32,59_1,1,1,1,1,0
2026-09-11,7,10075,1,4,752_1,1,1,1,1,0
2026-09-11,7,10075,1,6,215_1,1,1,1,1,0
2026-09-11,7,10075,1,7,214_1,1,1,1,1,0
2026-09-11,7,10075,1,10,212_1,1,1,1,1,0
2026-09-11,7,10081,0,2,422_2,1,1,0,0,0
2026-09-11,7,10081,0,3,423_2,1,1,0,0,0
2026-09-11,7,10081,0,5,425_1,1,1,0,0,0
2026-09-11,7,10081,0,6,426_2,1,1,0,0,0
2026-09-11,9,10001,1,10,765_1,1,1,1,1,0
2026-09-11,9,10001,1,12,609_1,1,1,1,1,0
2026-09-11,9,10001,1,14,607_1,1,1,1,1,0
2026-09-11,9,10001,1,16,249_1,1,1,1,1,0
2026-09-11,9,10002,1,3,451_1,1,1,1,1,0
2026-09-11,9,10002,1,4,452_1,1,1,1,1,0
2026-09-11,9,10002,1,5,906_1,1,1,1,1,0
2026-09-11,9,10002,1,6,75_2,1,1,1,1,0
2026-09-11,9,10017,1,4,6149_9,1,1,0,0,0
2026-09-11,9,10017,1,5,6147_1,1,1,0,0,0
2026-09-11,9,10017,1,7,6150_1,1,1,0,0,0
2026-09-11,9,10032,0,2,59_4,3,3,3,1,0
2026-09-11,9,10032,0,39,6256_2,1,1,1,1,0
2026-09-11,9,10032,0,42,6257_2,1,1,1,1,0
2026-09-11,9,10032,0,45,6225_2,1,1,1,1,0
2026-09-11,9,10032,0,47,6246_2,1,1,1,1,0
2026-09-11,9,10032,1,24,93_1,1,1,1,1,0
2026-09-11,9,10032,1,25,94_2,1,1,1,1,0
2026-09-11,9,10032,1,26,95_1,1,1,1,1,0
2026-09-11,9,10032,1,27,6228_1,1,1,1,1,0
2026-09-11,9,10034,0,1,91_2,2,0,0,0,2
2026-09-11,9,10047,0,9,3_2,2,2,2,1,0
2026-09-11,9,10047,0,12,6070_3,1,1,1,1,0
2026-09-11,9,10047,0,13,6102_2,1,1,1,1,0
2026-09-11,9,10047,1,38,114_1,1,1,1,1,0
2026-09-11,9,10047,1,39,114_3,1,1,1,1,0
2026-09-11,9,10047,1,40,3_1,2,2,2,1,0
2026-09-11,9,10049,0,23,6141_2,2,2,0,0,0
2026-09-11,9,10049,0,24,6105_2,1,1,0,0,0
2026-09-11,9,10049,0,26,6141_1,1,1,0,0,0
2026-09-11,9,10049,0,29,6040_1,1,1,1,1,0
2026-09-11,9,10049,1,8,6181_1,1,1,1,1,0
2026-09-11,9,10049,1,10,6258_1,1,1,1,1,0
2026-09-11,9,10049,1,12,6257_1,1,1,1,1,0
2026-09-11,9,10049,1,15,6256_1,1,1,1,1,0
2026-09-11,9,10050,1,10,93_2,1,1,1,1,0
2026-09-11,9,10050,1,12,91_4,1,1,1,1,0
2026-09-11,9,10051,0,1,91_4,1,1,1,1,0
2026-09-11,9,10051,0,2,6016_1,1,1,1,1,0
2026-09-11,9,10051,1,1,6015_1,2,0,0,0,2
2026-09-11,9,10051,1,3,6248_1,1,1,1,1,0
2026-09-11,9,10051,1,4,6067_1,1,1,1,1,0
2026-09-11,9,10054,0,1,6293_1,2,0,0,0,2
