date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ
2026-08-25,5,10047,0,10,6242_1,1,1,1,1
2026-08-25,5,10047,0,11,6064_1,1,1,1,1
2026-08-25,5,10060,1,3,6248_1,1,1,1,1
2026-08-25,5,10060,1,5,6172_1,1,1,1,1
2026-08-25,5,10069,1,2,7213_1,1,1,1,1
2026-08-25,6,10031,0,5,114_4,1,1,1,1
2026-08-25,6,10031,0,6,393_2,1,1,1,1
2026-08-25,6,10032,1,10,6258_1,1,1,1,1
2026-08-25,6,10032,1,12,6257_1,1,1,1,1
2026-08-25,6,10032,1,15,6256_1,1,1,1,1
2026-08-25,6,10032,1,16,6255_1,1,1,1,1
2026-08-25,6,10032,1,34,446_3,1,1,1,1
2026-08-25,6,10032,1,35,6166_1,1,1,1,1
2026-08-25,6,10045,0,3,6143_2,1,1,1,1
2026-08-25,6,10045,0,5,446_4,1,1,1,1
2026-08-25,6,10045,0,8,6160_2,1,1,1,1
2026-08-25,6,10045,0,11,243_2,1,1,1,1
2026-08-25,6,10045,0,31,6225_2,1,1,1,1
2026-08-25,6,10045,0,33,6246_2,1,1,1,1
2026-08-25,6,10047,0,13,6256_2,1,1,1,1
2026-08-25,6,10047,0,16,6257_2,1,1,1,1
2026-08-25,6,10047,1,8,6181_1,2,2,2,1
2026-08-25,6,10050,0,10,6190_2,1,1,1,1
2026-08-25,6,10050,1,6,6187_2,1,1,1,1
2026-08-25,6,10050,1,8,6212_1,1,1,1,1
2026-08-25,6,10050,1,9,6013_1,1,1,1,1
2026-08-25,6,10050,1,10,93_2,1,1,1,1
2026-08-25,6,10050,1,11,6016_2,2,2,2,1
2026-08-25,6,10051,1,2,6249_1,1,1,0,0
2026-08-25,6,10051,1,3,6248_1,1,1,1,1
2026-08-25,6,10051,1,4,6067_1,1,1,1,1
2026-08-25,6,10051,1,5,6172_1,1,1,1,1
2026-08-25,6,10059,0,6,6229_2,1,1,1,1
2026-08-25,6,10059,0,8,6169_2,1,1,1,1
2026-08-25,6,10060,0,3,128_1,2,2,0,0
2026-08-25,6,10060,0,23,6248_2,1,1,1,1
2026-08-25,6,10060,0,24,6013_2,1,1,1,1
2026-08-25,6,10060,0,25,6015_2,1,1,1,1
2026-08-25,6,10060,0,25,6212_2,1,1,1,1
2026-08-25,6,10060,1,5,6172_1,1,1,1,1
2026-08-25,6,10060,1,7,6011_1,2,2,2,1
2026-08-25,6,10060,1,8,6187_2,2,2,2,1
2026-08-25,6,10060,1,9,6205_1,1,1,1,1
2026-08-25,6,10060,1,10,6212_1,1,1,1,1
2026-08-25,6,10060,1,11,6013_1,1,1,1,1
2026-08-25,6,10060,1,28,902_1,1,1,1,1
2026-08-25,6,10060,1,30,4_1,1,1,1,1
2026-08-25,6,10060,1,31,6059_1,1,1,1,1
2026-08-25,6,10060,1,32,3_1,1,1,1,1
2026-08-25,6,10062,0,2,7841_4,1,1,1,1
2026-08-25,6,10062,1,1,6019_1,1,1,7,7
2026-08-25,6,10062,1,11,6006_1,1,1,1,1
2026-08-25,6,10062,1,13,6170_1,1,1,1,1
2026-08-25,6,10062,1,15,91_2,1,1,1,1
2026-08-25,6,10067,0,7,421_3,1,1,1,1
2026-08-25,6,10067,0,8,422_2,1,1,1,1
2026-08-25,6,10067,0,9,423_2,1,1,1,1
2026-08-25,6,10067,0,11,425_1,1,1,1,1
2026-08-25,6,10068,1,11,216_1,1,1,1,1
2026-08-25,6,10068,1,12,215_1,1,1,1,1
2026-08-25,6,10069,1,2,7213_1,1,1,1,1
2026-08-25,6,10069,1,5,211_1,1,1,1,1
2026-08-25,6,10069,1,11,609_1,1,1,1,1
2026-08-25,6,10069,1,13,607_1,1,1,1,1
