date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ
2026-08-24,5,10047,0,12,6255_2,1,1,1,1
2026-08-24,6,10031,0,4,114_5,2,2,2,1
2026-08-24,6,10031,0,5,114_4,2,2,2,1
2026-08-24,6,10032,1,11,6240_1,1,1,1,1
2026-08-24,6,10032,1,13,6244_1,1,1,1,1
2026-08-24,6,10032,1,16,6255_1,1,1,1,1
2026-08-24,6,10032,1,17,6064_2,1,1,1,1
2026-08-24,6,10032,1,28,243_1,1,1,1,1
2026-08-24,6,10032,1,30,6162_1,1,1,1,1
2026-08-24,6,10032,1,32,6001_1,1,1,1,1
2026-08-24,6,10032,1,34,446_3,1,1,1,1
2026-08-24,6,10045,0,5,446_4,1,1,1,1
2026-08-24,6,10045,0,8,6160_2,1,1,1,1
2026-08-24,6,10045,0,11,243_2,1,1,1,1
2026-08-24,6,10045,0,13,96_2,1,1,1,1
2026-08-24,6,10045,0,24,6255_2,1,1,1,1
2026-08-24,6,10045,0,25,6256_2,1,1,1,1
2026-08-24,6,10045,0,28,6257_2,1,1,1,1
2026-08-24,6,10045,0,31,6225_2,1,1,1,1
2026-08-24,6,10047,0,14,6094_2,1,1,1,1
2026-08-24,6,10047,0,18,6258_2,1,1,1,1
2026-08-24,6,10047,0,20,6181_2,1,1,1,1
2026-08-24,6,10047,1,4,6200_1,1,1,0,0
2026-08-24,6,10047,1,5,6176_1,1,1,0,0
2026-08-24,6,10047,1,8,6181_1,2,2,2,1
2026-08-24,6,10050,0,6,6205_2,1,1,1,1
2026-08-24,6,10050,0,8,6011_2,1,1,1,1
2026-08-24,6,10050,0,12,6014_3,1,1,1,1
2026-08-24,6,10050,1,5,6011_3,1,1,1,1
2026-08-24,6,10050,1,7,6205_1,1,1,1,1
2026-08-24,6,10050,1,8,6212_1,1,1,1,1
2026-08-24,6,10050,1,9,6013_1,1,1,1,1
2026-08-24,6,10050,1,10,93_2,1,1,1,1
2026-08-24,6,10050,1,11,6016_2,1,1,1,1
2026-08-24,6,10051,0,1,91_4,2,2,2,1
2026-08-24,6,10051,1,1,6015_1,1,1,7,7
2026-08-24,6,10051,1,3,6248_1,2,2,1,1
2026-08-24,6,10051,1,4,6067_1,1,1,1,1
2026-08-24,6,10051,1,5,6172_1,1,1,1,1
2026-08-24,6,10051,1,6,6017_1,2,2,2,1
2026-08-24,6,10053,0,1,9_1,1,1,7,7
2026-08-24,6,10059,0,2,7841_4,2,2,2,1
2026-08-24,6,10059,0,4,6902_2,1,1,1,1
2026-08-24,6,10059,0,6,6229_2,1,1,1,1
2026-08-24,6,10060,0,2,73_1,2,2,2,1
2026-08-24,6,10060,0,3,128_1,1,1,0,0
2026-08-24,6,10060,0,4,114_5,1,1,0,0
2026-08-24,6,10060,0,20,243_2,1,1,1,1
2026-08-24,6,10060,0,21,6228_2,1,1,1,1
2026-08-24,6,10060,0,24,6249_2,1,1,1,1
2026-08-24,6,10060,0,24,6013_2,1,1,1,1
2026-08-24,6,10060,0,26,6205_2,1,1,1,1
2026-08-24,6,10060,1,6,6017_1,2,2,2,1
2026-08-24,6,10060,1,7,6011_1,2,2,2,1
2026-08-24,6,10060,1,8,6187_2,2,2,2,1
2026-08-24,6,10060,1,9,6205_1,1,1,1,1
2026-08-24,6,10060,1,10,6212_1,2,2,2,1
2026-08-24,6,10060,1,11,6013_1,1,1,1,1
2026-08-24,6,10060,1,12,94_2,2,2,2,1
2026-08-24,6,10060,1,26,8_3,2,2,2,1
2026-08-24,6,10060,1,27,6_1,1,1,1,1
2026-08-24,6,10060,1,29,5_1,1,1,1,1
2026-08-24,6,10062,0,1,91_2,2,2,2,1
2026-08-24,6,10062,0,2,7841_4,1,1,1,1
2026-08-24,6,10062,1,1,6019_1,1,1,7,7
2026-08-24,6,10062,1,13,6170_1,1,1,1,1
2026-08-24,6,10067,0,7,421_3,1,1,1,1
2026-08-24,6,10067,0,9,423_2,1,1,1,1
2026-08-24,6,10067,0,10,424_2,1,1,1,1
2026-08-24,6,10067,0,12,426_2,1,1,1,1
2026-08-24,6,10068,1,7,421_2,1,1,1,1
2026-08-24,6,10068,1,8,422_2,1,1,1,1
2026-08-24,6,10068,1,9,7217_1,1,1,1,1
2026-08-24,6,10068,1,11,216_1,1,1,1,1
2026-08-24,6,10069,1,1,214_3,2,2,14,7
2026-08-24,6,10069,1,2,7213_1,1,1,1,1
2026-08-24,6,10069,1,4,212_1,1,1,1,1
2026-08-24,6,10069,1,5,211_1,1,1,1,1
2026-08-24,6,10069,1,7,6023_3,1,1,1,1
2026-08-24,6,10069,1,8,7717_1,1,1,1,1
2026-08-24,6,10069,1,9,765_1,1,1,1,1
2026-08-24,6,10069,1,11,609_1,1,1,1,1
2026-08-24,6,10069,1,14,606_1,1,1,1,1
2026-08-24,6,10069,1,26,4_4,1,1,1,1
2026-08-24,6,10069,1,27,6059_1,1,1,1,1
2026-08-24,6,10069,1,29,73_1,1,1,1,1
2026-08-24,6,10069,1,30,128_1,1,1,1,1
2026-08-24,6,10070,1,9,615_1,1,1,1,1
2026-08-24,6,10070,1,11,211_1,1,1,1,1
2026-08-24,6,10070,1,13,6023_3,2,2,2,1
2026-08-24,6,10070,1,26,150_1,2,2,2,1
2026-08-24,6,10070,1,27,252_1,1,1,1,1
2026-08-24,6,10070,1,29,253_1,1,1,1,1
2026-08-24,6,10072,1,1,6109_1,1,1,7,7
2026-08-24,6,10072,1,2,6236_2,1,1,1,1
2026-08-24,6,10072,1,3,440_2,1,1,1,1
2026-08-24,6,10072,1,4,418_2,1,1,1,1
2026-08-24,6,10072,1,17,211_1,1,1,1,1
2026-08-24,6,10072,1,19,209_1,1,1,1,1
2026-08-24,6,10072,1,21,206_1,2,2,2,1
2026-08-24,6,10080,1,1,6079_1,2,2,2,1
2026-08-24,6,10080,1,2,6035_1,1,1,1,1
2026-08-24,6,10080,1,3,6180_1,1,1,1,1
2026-08-24,7,10001,1,11,610_1,1,1,1,1
2026-08-24,7,10001,1,15,606_1,1,1,1,1
2026-08-24,7,10001,1,16,249_1,1,1,1,1
2026-08-24,7,10001,1,17,250_1,1,1,1,1
2026-08-24,7,10031,0,19,6162_2,1,1,1,1
2026-08-24,7,10031,0,21,243_2,1,1,1,1
2026-08-24,7,10031,0,22,6228_2,1,1,1,1
2026-08-24,7,10031,0,24,94_3,1,1,3,3
2026-08-24,7,10032,1,46,3_1,1,1,1,1
2026-08-24,7,10032,1,47,73_1,1,1,1,1
2026-08-24,7,10032,1,48,72_2,1,1,1,1
2026-08-24,7,10032,1,49,55_1,1,1,1,1
2026-08-24,7,10033,1,7,6400_1,1,1,1,1
2026-08-24,7,10033,1,8,6033_2,1,1,1,1
2026-08-24,7,10033,1,10,6170_1,1,1,1,1
2026-08-24,7,10033,1,12,91_3,1,1,1,1
2026-08-24,7,10043,0,5,6122_9,1,1,0,0
2026-08-24,7,10043,0,7,6145_1,1,1,0,0
2026-08-24,7,10047,1,2,6031_1,1,1,0,0
2026-08-24,7,10047,1,5,6176_1,1,1,1,1
2026-08-24,7,10047,1,22,243_1,1,1,1,1
2026-08-24,7,10047,1,25,6160_1,1,1,1,1
2026-08-24,7,10047,1,27,6161_1,1,1,1,1
2026-08-24,7,10047,1,29,6166_1,1,1,1,1
2026-08-24,7,10049,1,6,6206_1,1,1,1,1
2026-08-24,7,10049,1,8,6181_1,2,2,2,1
2026-08-24,7,10049,1,10,6258_1,1,1,1,1
2026-08-24,7,10050,0,1,91_4,1,1,3,3
2026-08-24,7,10050,0,2,6016_1,2,2,2,1
2026-08-24,7,10050,1,1,6014_1,1,1,7,7
2026-08-24,7,10050,1,3,6190_1,1,1,1,1
2026-08-24,7,10050,1,5,6011_3,1,1,1,1
2026-08-24,7,10050,1,6,6187_2,1,1,1,1
2026-08-24,7,10051,1,13,6016_2,1,1,3,3
2026-08-24,7,10053,0,1,9_1,2,2,1,1
2026-08-24,7,10056,0,9,14_3,1,1,1,1
2026-08-24,7,10056,0,10,15_2,1,1,1,1
2026-08-24,7,10056,0,12,17_2,1,1,1,1
2026-08-24,7,10056,0,13,18_2,1,1,1,1
2026-08-24,7,10059,0,9,6260_1,1,1,1,1
2026-08-24,7,10059,0,10,7475_1,1,1,1,1
2026-08-24,7,10060,0,8,6069_2,1,1,1,1
2026-08-24,7,10060,0,10,9_5,1,1,1,1
2026-08-24,7,10060,0,11,6241_2,1,1,1,1
2026-08-24,7,10060,0,13,6166_2,1,1,1,1
2026-08-24,7,10060,1,1,6015_1,1,1,1,1
2026-08-24,7,10060,1,3,6248_1,1,1,1,1
2026-08-24,7,10060,1,8,6187_2,1,1,1,1
2026-08-24,7,10060,1,9,6205_1,1,1,1,1
2026-08-24,7,10060,1,11,6013_1,1,1,3,3
2026-08-24,7,10060,1,12,94_2,1,1,3,3
2026-08-24,7,10060,1,24,6241_1,1,1,3,3
2026-08-24,7,10060,1,25,9_2,2,2,2,1
2026-08-24,7,10060,1,27,6_1,1,1,1,1
2026-08-24,7,10062,0,1,91_2,2,2,2,1
2026-08-24,7,10062,0,4,6902_2,1,1,1,1
