date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ,n_nodata
2026-09-12,6,10047,0,1,6161_2,1,1,1,1,0
2026-09-12,7,10031,0,2,73_1,1,1,0,0,0
2026-09-12,7,10031,0,3,128_1,1,1,1,1,0
2026-09-12,7,10031,0,4,114_5,2,2,2,1,0
2026-09-12,7,10032,1,22,393_1,1,1,1,1,0
2026-09-12,7,10032,1,23,114_1,1,1,1,1,0
2026-09-12,7,10032,1,24,114_3,1,1,1,1,0
2026-09-12,7,10032,1,26,73_1,1,1,1,1,0
2026-09-12,7,10043,0,1,6019_1,1,0,0,0,1
2026-09-12,7,10043,0,2,6148_2,2,2,0,0,0
2026-09-12,7,10043,0,5,6122_9,1,1,0,0,0
2026-09-12,7,10047,1,13,6244_1,1,1,1,1,0
2026-09-12,7,10047,1,16,6255_1,2,2,2,1,0
2026-09-12,7,10047,1,18,6242_2,1,1,1,1,0
2026-09-12,7,10050,0,1,91_4,2,2,2,1,0
2026-09-12,7,10050,1,1,6014_1,1,0,0,0,1
2026-09-12,7,10050,1,3,6190_1,1,1,1,1,0
2026-09-12,7,10050,1,5,6011_3,1,1,1,1,0
2026-09-12,7,10050,1,7,6205_1,1,1,1,1,0
2026-09-12,7,10051,0,6,6205_2,1,1,1,1,0
2026-09-12,7,10051,0,8,6011_4,1,1,1,1,0
2026-09-12,7,10051,0,12,6248_2,1,1,1,1,0
2026-09-12,7,10051,0,14,6015_2,1,1,1,1,0
2026-09-12,7,10051,1,11,6013_1,1,1,1,1,0
2026-09-12,7,10051,1,13,6016_2,1,1,1,1,0
2026-09-12,7,10059,0,1,91_3,3,0,0,0,3
2026-09-12,7,10059,0,2,7841_4,1,1,1,1,0
2026-09-12,7,10059,0,5,6006_2,1,1,1,1,0
2026-09-12,7,10059,1,14,6006_1,1,1,1,1,0
2026-09-12,7,10059,1,16,6170_1,1,1,1,1,0
2026-09-12,7,10059,1,18,91_3,1,1,1,1,0
2026-09-12,7,10060,0,6,6070_3,1,1,1,1,0
2026-09-12,7,10060,0,7,6102_2,1,1,1,1,0
2026-09-12,7,10060,0,10,9_5,1,1,1,1,0
2026-09-12,7,10060,0,11,243_2,1,1,0,0,0
2026-09-12,7,10060,0,11,6241_2,1,1,1,1,0
2026-09-12,7,10060,0,13,95_2,1,1,0,0,0
2026-09-12,7,10060,0,15,6013_2,1,1,0,0,0
2026-09-12,7,10060,0,16,6212_2,1,1,0,0,0
2026-09-12,7,10060,1,1,6015_1,1,0,0,0,1
2026-09-12,7,10060,1,3,6248_1,1,1,1,1,0
2026-09-12,7,10060,1,5,6172_1,1,1,1,1,0
2026-09-12,7,10060,1,7,6011_1,1,1,1,1,0
2026-09-12,7,10060,1,20,6161_1,1,1,1,1,0
2026-09-12,7,10060,1,21,446_3,1,1,1,1,0
2026-09-12,7,10060,1,23,6143_1,1,1,1,1,0
2026-09-12,7,10060,1,25,9_2,1,1,1,1,0
2026-09-12,7,10068,0,10,418_1,1,1,0,0,0
2026-09-12,7,10068,0,11,440_1,1,1,1,1,0
2026-09-12,7,10068,0,12,6236_1,1,1,1,1,0
2026-09-12,7,10068,1,8,422_2,2,2,2,1,0
2026-09-12,7,10068,1,9,7217_1,1,1,1,1,0
2026-09-12,7,10068,1,11,216_1,1,1,1,1,0
2026-09-12,7,10070,1,24,152_2,1,1,1,1,0
2026-09-12,7,10070,1,26,150_1,1,1,1,1,0
2026-09-12,7,10070,1,27,252_1,1,1,1,1,0
2026-09-12,7,10070,1,28,186_1,1,1,1,1,0
2026-09-12,7,10072,1,17,211_1,1,1,1,1,0
2026-09-12,7,10072,1,18,210_1,1,1,1,1,0
2026-09-12,7,10072,1,19,209_1,2,2,2,1,0
2026-09-12,7,10081,0,1,421_3,3,0,0,0,3
2026-09-12,7,10081,0,2,422_2,1,1,1,1,0
2026-09-12,9,10001,1,14,607_1,1,1,1,1,0
2026-09-12,9,10001,1,16,249_1,1,1,1,1,0
2026-09-12,9,10001,1,18,251_1,1,1,1,1,0
2026-09-12,9,10001,1,19,152_1,1,1,1,1,0
2026-09-12,9,10002,1,14,127_1,1,1,1,1,0
2026-09-12,9,10002,1,16,125_1,2,2,2,1,0
2026-09-12,9,10002,1,17,124_1,1,1,1,1,0
2026-09-12,9,10002,1,23,59_3,1,1,1,1,0
2026-09-12,9,10035,0,2,7841_4,1,1,3,3,0
2026-09-12,9,10035,0,3,6170_2,1,1,3,3,0
2026-09-12,9,10035,0,6,6229_2,1,1,3,3,0
2026-09-12,9,10035,0,7,6074_2,1,1,3,3,0
2026-09-12,9,10047,0,1,61_1,2,0,0,0,2
2026-09-12,9,10047,0,2,59_4,2,2,2,1,0
2026-09-12,9,10047,0,16,9_5,1,1,3,3,0
2026-09-12,9,10047,0,17,6241_2,2,2,10,5,0
2026-09-12,9,10047,0,19,6166_2,1,1,5,5,0
2026-09-12,9,10047,0,41,6246_2,1,1,1,1,0
2026-09-12,9,10047,0,43,6176_2,1,1,1,1,0
2026-09-12,9,10047,0,44,6200_3,1,1,1,1,0
2026-09-12,9,10047,1,18,6242_2,1,1,1,1,0
2026-09-12,9,10047,1,19,94_2,1,1,1,1,0
2026-09-12,9,10047,1,21,6228_1,1,1,1,1,0
2026-09-12,9,10047,1,22,243_1,1,1,1,1,0
2026-09-12,9,10047,1,40,3_1,1,1,1,1,0
2026-09-12,9,10047,1,41,73_1,1,1,1,1,0
2026-09-12,9,10047,1,42,72_2,2,2,2,1,0
2026-09-12,9,10049,0,5,6242_1,1,1,1,1,0
2026-09-12,9,10049,0,7,6255_2,1,1,1,1,0
2026-09-12,9,10049,0,9,6094_2,1,1,1,1,0
2026-09-12,9,10049,0,13,6258_2,1,1,1,1,0
2026-09-12,9,10049,0,25,6105_1,1,1,1,1,0
2026-09-12,9,10049,0,27,6099_1,1,1,1,1,0
2026-09-12,9,10049,0,28,6022_1,2,2,2,1,0
2026-09-12,9,10049,1,6,6206_1,1,1,1,1,0
2026-09-12,9,10049,1,8,6181_1,1,1,1,1,0
2026-09-12,9,10049,1,9,6225_1,1,1,1,1,0
2026-09-12,9,10049,1,11,6240_1,1,1,1,1,0
2026-09-12,9,10050,0,2,6016_1,1,1,1,1,0
2026-09-12,9,10050,0,3,93_1,1,1,1,1,0
2026-09-12,9,10050,0,5,6212_2,1,1,1,1,0
2026-09-12,9,10050,0,6,6205_2,1,1,1,1,0
2026-09-12,9,10050,1,3,6190_1,1,1,1,1,0
2026-09-12,9,10050,1,5,6011_3,1,1,1,1,0
2026-09-12,9,10050,1,7,6205_1,1,1,1,1,0
2026-09-12,9,10050,1,9,6013_1,1,1,1,1,0
2026-09-12,9,10053,0,53,6329_1,1,1,0,0,0
2026-09-12,9,10053,0,54,6275_1,1,1,0,0,0
2026-09-12,9,10053,0,55,6277_1,1,1,0,0,0
2026-09-12,9,10054,0,1,6293_1,2,0,0,0,2
2026-09-12,9,10054,0,2,6402_9,1,1,3,3,0
2026-09-12,9,10054,0,3,6271_9,1,1,3,3,0
2026-09-12,9,10054,1,1,6292_1,1,1,3,3,0
2026-09-12,9,10059,0,6,6229_2,1,1,0,0,0
2026-09-12,9,10059,0,8,6169_2,1,1,0,0,0
2026-09-12,9,10059,0,9,6260_1,1,1,0,0,0
2026-09-12,9,10059,1,2,6260_2,1,1,1,1,0
2026-09-12,9,10059,1,3,6169_1,1,1,1,1,0
2026-09-12,9,10059,1,5,6074_1,1,1,1,1,0
2026-09-12,9,10059,1,6,6229_1,1,1,1,1,0
2026-09-12,9,10060,0,18,6162_2,1,1,1,1,0
2026-09-12,9,10060,0,20,243_2,1,1,1,1,0
2026-09-12,9,10060,0,22,95_2,1,1,1,1,0
