date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ
2026-08-22,6,10032,1,12,6161_1,1,1,1,1
2026-08-22,6,10032,1,13,446_3,1,1,1,1
2026-08-22,6,10032,1,15,6143_1,1,1,1,1
2026-08-22,6,10045,0,9,6162_2,1,1,1,1
2026-08-22,6,10045,0,12,97_3,1,1,1,1
2026-08-22,6,10045,0,13,96_2,1,1,1,1
2026-08-22,6,10045,0,16,93_2,1,1,1,1
2026-08-22,6,10045,0,30,6258_2,1,1,1,1
2026-08-22,6,10045,0,32,6181_2,1,1,1,1
2026-08-22,6,10045,0,33,6246_2,1,1,1,1
2026-08-22,6,10047,1,1,6039_1,1,1,7,7
2026-08-22,6,10047,1,2,6031_1,1,1,0,0
2026-08-22,6,10047,1,5,6176_1,1,1,0,0
2026-08-22,6,10050,0,7,6187_3,1,1,1,1
2026-08-22,6,10050,0,9,6018_2,2,2,1,1
2026-08-22,6,10050,0,12,6014_3,2,2,1,1
2026-08-22,6,10050,1,7,6205_1,1,1,1,1
2026-08-22,6,10050,1,9,6013_1,1,1,1,1
2026-08-22,6,10050,1,10,93_2,1,1,1,1
2026-08-22,6,10051,1,2,6249_1,1,1,1,1
2026-08-22,6,10051,1,3,6248_1,1,1,0,0
2026-08-22,6,10051,1,5,6172_1,1,1,0,0
2026-08-22,6,10051,1,7,6011_1,1,1,1,1
2026-08-22,6,10051,1,8,6187_2,1,1,1,1
2026-08-22,6,10059,0,9,6260_1,1,1,1,1
2026-08-22,6,10059,0,10,7475_3,1,1,1,1
2026-08-22,6,10059,0,12,6263_2,1,1,1,1
2026-08-22,6,10059,1,3,6106_1,1,1,1,1
2026-08-22,6,10059,1,5,6196_1,1,1,1,1
2026-08-22,6,10059,1,7,6260_1,1,1,1,1
2026-08-22,6,10059,1,8,7475_1,1,1,1,1
2026-08-22,6,10059,1,9,6260_2,1,1,1,1
2026-08-22,6,10059,1,10,6169_1,1,1,1,1
2026-08-22,6,10059,1,13,6229_1,1,1,1,1
2026-08-22,6,10060,0,1,9_1,3,3,21,7
2026-08-22,6,10060,0,1,3_1,1,1,1,1
2026-08-22,6,10060,1,8,6187_2,1,1,1,1
2026-08-22,6,10060,1,9,6205_1,1,1,1,1
2026-08-22,6,10060,1,12,94_2,2,2,2,1
2026-08-22,6,10060,1,13,95_1,1,1,1,1
2026-08-22,6,10060,1,15,243_1,1,1,1,1
2026-08-22,6,10060,1,18,6160_1,1,1,1,1
2026-08-22,6,10060,1,30,4_1,1,1,1,1
2026-08-22,6,10060,1,31,6059_1,1,1,1,1
2026-08-22,6,10067,0,9,423_2,1,1,1,1
2026-08-22,6,10067,0,11,425_1,1,1,1,1
2026-08-22,6,10067,0,12,426_2,1,1,1,1
2026-08-22,6,10067,0,14,6112_2,1,1,1,1
2026-08-22,6,10068,1,1,6109_1,1,1,1,1
2026-08-22,6,10068,1,2,6236_2,4,4,0,0
2026-08-22,6,10069,1,17,251_1,1,1,1,1
2026-08-22,6,10069,1,20,150_1,1,1,1,1
2026-08-22,6,10069,1,21,252_1,1,1,1,1
2026-08-22,6,10069,1,22,186_1,1,1,1,1
2026-08-22,6,10070,1,1,421_3,2,2,14,7
2026-08-22,6,10070,1,2,422_2,1,1,1,1
2026-08-22,6,10070,1,14,7717_1,1,1,1,1
2026-08-22,6,10070,1,15,765_1,1,1,1,1
2026-08-22,6,10070,1,17,609_1,1,1,1,1
2026-08-22,6,10072,1,6,6163_2,1,1,1,1
2026-08-22,6,10072,1,8,422_2,1,1,1,1
2026-08-22,6,10072,1,9,7217_1,1,1,1,1
2026-08-22,6,10080,1,2,6035_1,1,1,1,1
2026-08-22,6,10080,1,3,6180_1,1,1,1,1
2026-08-22,6,10080,1,6,426_1,1,1,1,1
2026-08-22,7,10032,1,17,9_2,1,1,1,1
2026-08-22,7,10045,0,34,6206_2,1,1,1,1
2026-08-22,7,10047,1,6,6206_1,1,1,1,1
2026-08-22,7,10051,0,1,91_4,1,1,1,1
2026-08-22,7,10051,1,4,6067_1,1,1,1,1
2026-08-22,7,10059,0,14,6134_2,1,1,0,0
2026-08-22,7,10059,1,8,7475_1,1,1,1,1
2026-08-22,7,10060,0,2,6241_2,1,1,0,0
2026-08-22,7,10060,0,2,73_1,1,1,1,1
2026-08-22,7,10060,1,12,94_2,1,1,1,1
2026-08-22,7,10068,0,3,216_2,1,1,1,1
2026-08-22,7,10068,1,2,6236_2,1,1,1,1
2026-08-22,7,10070,1,19,607_1,1,1,1,1
2026-08-22,7,10072,1,11,216_1,1,1,1,1
2026-08-22,7,10080,1,8,7217_2,1,1,1,1
