date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ,n_nodata
2026-09-17,7,10001,1,25,5_4,1,1,1,1,0
2026-09-17,7,10001,1,26,6070_3,1,1,1,1,0
2026-09-17,7,10031,0,34,6256_2,1,1,3,3,0
2026-09-17,7,10031,0,37,6257_2,1,1,3,3,0
2026-09-17,7,10031,0,39,6258_2,1,1,3,3,0
2026-09-17,7,10031,0,40,6225_2,1,1,3,3,0
2026-09-17,7,10047,0,1,61_1,1,0,0,0,1
2026-09-17,7,10047,0,2,59_4,3,3,3,1,0
2026-09-17,7,10047,1,17,6064_2,1,1,1,1,0
2026-09-17,7,10047,1,18,6242_2,1,1,1,1,0
2026-09-17,7,10047,1,20,95_1,1,1,1,1,0
2026-09-17,7,10047,1,21,6228_1,1,1,1,1,0
2026-09-17,7,10047,1,37,393_1,1,1,1,1,0
2026-09-17,7,10047,1,38,114_1,1,1,1,1,0
2026-09-17,7,10047,1,39,114_3,1,1,1,1,0
2026-09-17,7,10047,1,40,3_1,1,1,1,1,0
2026-09-17,7,10049,1,21,6016_2,1,1,1,1,0
2026-09-17,7,10051,0,1,91_4,1,1,3,3,0
2026-09-17,7,10051,0,2,6016_1,1,1,1,1,0
2026-09-17,7,10051,0,7,6187_3,1,1,1,1,0
2026-09-17,7,10051,0,10,6172_2,1,1,0,0,0
2026-09-17,7,10051,0,12,6248_2,1,1,0,0,0
2026-09-17,7,10051,0,14,6015_2,1,1,0,0,0
2026-09-17,7,10051,1,4,6067_1,1,1,1,1,0
2026-09-17,7,10051,1,5,6172_1,1,1,1,1,0
2026-09-17,7,10051,1,7,6011_1,1,1,1,1,0
2026-09-17,7,10051,1,8,6187_2,1,1,1,1,0
2026-09-17,7,10051,1,12,93_2,1,1,3,3,0
2026-09-17,7,10051,1,13,6016_2,1,1,3,3,0
2026-09-17,7,10053,0,13,18_2,1,1,1,1,0
2026-09-17,7,10053,0,14,44_2,1,1,1,1,0
2026-09-17,7,10053,0,16,42_2,1,1,1,1,0
2026-09-17,7,10053,0,18,40_2,1,1,1,1,0
2026-09-17,7,10056,0,22,473_2,1,1,1,1,0
2026-09-17,7,10056,0,23,474_2,1,1,1,1,0
2026-09-17,7,10056,0,24,7475_3,1,1,1,1,0
2026-09-17,7,10056,0,25,6260_2,1,1,1,1,0
2026-09-17,7,10059,0,2,7841_4,2,2,2,1,0
2026-09-17,7,10059,0,4,6902_2,1,1,1,1,0
2026-09-17,7,10059,0,10,7475_1,1,1,1,1,0
2026-09-17,7,10059,1,1,7475_1,1,0,0,0,1
2026-09-17,7,10059,1,11,91_3,1,1,1,1,0
2026-09-17,7,10060,0,4,114_5,1,1,0,0,0
2026-09-17,7,10060,0,5,393_2,1,1,0,0,0
2026-09-17,7,10060,0,6,6070_3,1,1,0,0,0
2026-09-17,7,10060,0,7,6102_2,1,1,0,0,0
2026-09-17,7,10060,0,26,6205_2,1,1,1,1,0
2026-09-17,7,10060,0,27,6187_3,1,1,1,1,0
2026-09-17,7,10060,0,28,6011_4,1,1,1,1,0
2026-09-17,7,10060,0,30,6172_2,1,1,1,1,0
2026-09-17,7,10060,1,3,6248_1,1,1,1,1,0
2026-09-17,7,10060,1,7,6011_1,1,1,1,1,0
2026-09-17,7,10060,1,8,6187_2,1,1,1,1,0
2026-09-17,7,10060,1,10,6212_1,1,1,1,1,0
2026-09-17,7,10060,1,11,6013_1,1,1,3,3,0
2026-09-17,7,10060,1,14,6228_1,1,1,1,1,0
2026-09-17,7,10060,1,15,243_1,1,1,1,1,0
2026-09-17,7,10060,1,18,6160_1,1,1,3,3,0
2026-09-17,7,10060,1,20,6161_1,1,1,3,3,0
2026-09-17,7,10060,1,23,6143_1,1,1,3,3,0
2026-09-17,7,10060,1,25,9_2,1,1,3,3,0
2026-09-17,7,10060,1,26,8_3,2,2,2,1,0
2026-09-17,7,10066,1,16,6169_1,1,1,1,1,0
2026-09-17,7,10066,1,18,6074_1,1,1,1,1,0
2026-09-17,7,10066,1,20,6006_1,2,2,2,1,0
2026-09-17,7,10068,0,1,214_3,2,0,0,0,2
2026-09-17,7,10068,0,3,216_2,1,1,1,1,0
2026-09-17,7,10068,0,4,752_2,1,1,1,1,0
2026-09-17,7,10068,0,17,249_2,1,1,1,1,0
2026-09-17,7,10068,0,18,606_2,1,1,1,1,0
2026-09-17,7,10068,0,20,608_2,1,1,1,1,0
2026-09-17,7,10068,0,22,610_2,1,1,1,1,0
2026-09-17,7,10068,1,4,418_2,1,1,1,1,0
2026-09-17,7,10068,1,6,6163_2,1,1,1,1,0
2026-09-17,7,10068,1,8,422_2,2,2,2,1,0
2026-09-17,7,10068,1,18,210_1,2,2,2,1,0
2026-09-17,7,10068,1,19,6023_3,2,2,2,1,0
2026-09-17,7,10068,1,38,4_4,1,1,1,1,0
2026-09-17,7,10068,1,39,6059_1,1,1,1,1,0
2026-09-17,7,10070,0,1,3_1,1,1,1,1,0
2026-09-17,7,10070,0,2,73_1,1,1,1,1,0
2026-09-17,7,10072,0,1,61_2,1,0,0,0,1
2026-09-17,7,10072,0,2,59_4,3,3,3,1,0
2026-09-17,7,10075,1,9,615_1,1,1,1,1,0
2026-09-17,7,10075,1,11,211_1,2,2,2,1,0
2026-09-17,7,10075,1,12,210_1,1,1,1,1,0
2026-09-17,7,10075,1,19,65_1,2,2,2,1,0
2026-09-17,7,10075,1,20,67_1,1,1,1,1,0
2026-09-17,7,10075,1,21,68_1,1,1,1,1,0
2026-09-17,7,10080,1,1,6079_1,1,0,0,0,1
2026-09-17,7,10080,1,2,6035_1,1,1,0,0,0
2026-09-17,7,10080,1,4,6112_1,1,1,1,1,0
2026-09-17,7,10080,1,5,6168_1,1,1,1,1,0
2026-09-17,9,10002,0,1,61_3,1,0,0,0,1
2026-09-17,9,10002,1,23,59_3,2,2,2,1,0
2026-09-17,9,10032,0,16,9_5,1,1,3,3,0
2026-09-17,9,10032,0,17,6241_2,2,2,6,3,0
2026-09-17,9,10032,0,19,6166_2,1,1,3,3,0
2026-09-17,9,10032,1,6,6206_1,1,1,1,1,0
2026-09-17,9,10032,1,8,6181_1,1,1,1,1,0
