date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ
2026-08-19,6,10031,0,4,114_5,2,2,0,0
2026-08-19,6,10031,0,5,114_4,1,1,1,1
2026-08-19,6,10031,0,6,393_2,1,1,1,1
2026-08-19,6,10032,1,15,6256_1,1,1,1,1
2026-08-19,6,10032,1,16,6255_1,1,1,1,1
2026-08-19,6,10032,1,17,6064_2,1,1,1,1
2026-08-19,6,10032,1,19,94_4,1,1,1,1
2026-08-19,6,10032,1,29,6041_1,1,1,1,1
2026-08-19,6,10032,1,32,6001_1,1,1,1,1
2026-08-19,6,10032,1,34,446_3,1,1,1,1
2026-08-19,6,10032,1,36,6143_1,1,1,1,1
2026-08-19,6,10045,0,8,6160_2,1,1,1,1
2026-08-19,6,10045,0,11,243_2,1,1,1,1
2026-08-19,6,10045,0,13,96_2,1,1,1,1
2026-08-19,6,10045,0,14,95_2,1,1,1,1
2026-08-19,6,10045,0,25,6256_2,1,1,1,1
2026-08-19,6,10045,0,28,6257_2,1,1,1,1
2026-08-19,6,10045,0,31,6225_2,1,1,1,1
2026-08-19,6,10045,0,33,6246_2,1,1,1,1
2026-08-19,6,10047,0,13,6256_2,1,1,1,1
2026-08-19,6,10047,0,16,6257_2,1,1,1,1
2026-08-19,6,10047,0,18,6258_2,1,1,1,1
2026-08-19,6,10047,0,21,6246_2,1,1,1,1
2026-08-19,6,10047,1,3,6042_1,1,1,0,0
2026-08-19,6,10047,1,5,6176_1,1,1,0,0
2026-08-19,6,10047,1,8,6181_1,2,2,2,1
2026-08-19,6,10050,0,6,6205_2,1,1,1,1
2026-08-19,6,10050,0,8,6011_2,1,1,1,1
2026-08-19,6,10050,0,11,6171_2,1,1,1,1
2026-08-19,6,10050,1,5,6011_3,1,1,1,1
2026-08-19,6,10050,1,7,6205_1,1,1,1,1
2026-08-19,6,10050,1,9,6013_1,1,1,1,1
2026-08-19,6,10050,1,10,93_2,1,1,1,1
2026-08-19,6,10050,1,11,6016_2,1,1,1,1
2026-08-19,6,10050,1,12,91_4,1,1,1,1
2026-08-19,6,10051,0,1,91_4,1,1,1,1
2026-08-19,6,10051,0,3,93_1,1,1,1,1
